V1,V2,V3
174.890625,-1.3,-775
174.910546875,-1.3,-1238
174.93046875,-1.3,-1630
174.950390625,-1.3,-2003
174.9703125,-1.3,-2622
174.990234375,-1.3,-2921
175.01015625,-1.3,-3203
175.030078125,-1.3,-3345
175.05,-1.3,-3502
175.069921875,-1.3,-3735
175.08984375,-1.3,-3966
175.109765625,-1.3,-4118
175.1296875,-1.3,-4361
175.149609375,-1.3,-4462
175.16953125,-1.3,-4485
175.189453125,-1.3,-4522
175.209375,-1.3,-4549
174.890625,-1.32,-391
174.910546875,-1.32,-697
174.93046875,-1.32,-1041
174.950390625,-1.32,-1382
174.9703125,-1.32,-2003
174.990234375,-1.32,-2300
175.01015625,-1.32,-2602
175.030078125,-1.32,-2886
175.05,-1.32,-3179
175.069921875,-1.32,-3465
175.08984375,-1.32,-3704
175.109765625,-1.32,-3864
175.1296875,-1.32,-4125
175.149609375,-1.32,-4230
175.16953125,-1.32,-4243
175.189453125,-1.32,-4251
175.209375,-1.32,-4314
174.890625,-1.34,-120
174.910546875,-1.34,-257
174.93046875,-1.34,-534
174.950390625,-1.34,-814
174.9703125,-1.34,-1342
174.990234375,-1.34,-1569
175.01015625,-1.34,-1862
175.030078125,-1.34,-2265
175.05,-1.34,-2717
175.069921875,-1.34,-3091
175.08984375,-1.34,-3379
175.109765625,-1.34,-3523
175.1296875,-1.34,-3769
175.149609375,-1.34,-3919
175.16953125,-1.34,-3905
175.189453125,-1.34,-3895
175.209375,-1.34,-4026
174.890625,-1.36,-11
174.910546875,-1.36,-69
174.93046875,-1.36,-206
174.950390625,-1.36,-388
174.9703125,-1.36,-704
174.990234375,-1.36,-842
175.01015625,-1.36,-1083
175.030078125,-1.36,-1544
175.05,-1.36,-2094
175.069921875,-1.36,-2580
175.08984375,-1.36,-2937
175.109765625,-1.36,-3106
175.1296875,-1.36,-3323
175.149609375,-1.36,-3447
175.16953125,-1.36,-3551
175.189453125,-1.36,-3658
175.209375,-1.36,-3812
174.890625,-1.38,-2
174.910546875,-1.38,-9
174.93046875,-1.38,-32
174.950390625,-1.38,-122
174.9703125,-1.38,-246
174.990234375,-1.38,-286
175.01015625,-1.38,-379
175.030078125,-1.38,-856
175.05,-1.38,-1429
175.069921875,-1.38,-1950
175.08984375,-1.38,-2415
175.109765625,-1.38,-2608
175.1296875,-1.38,-2913
175.149609375,-1.38,-3058
175.16953125,-1.38,-3291
175.189453125,-1.38,-3494
175.209375,-1.38,-3694
174.890625,-1.4,-23
174.910546875,-1.4,-20
174.93046875,-1.4,-5
174.950390625,-1.4,-9
174.9703125,-1.4,-46
174.990234375,-1.4,-57
175.01015625,-1.4,-111
175.030078125,-1.4,-360
175.05,-1.4,-744
175.069921875,-1.4,-1212
175.08984375,-1.4,-1666
175.109765625,-1.4,-2048
175.1296875,-1.4,-2674
175.149609375,-1.4,-2950
175.16953125,-1.4,-3214
175.189453125,-1.4,-3453
175.209375,-1.4,-3675
174.890625,-1.42,-37
174.910546875,-1.42,-35
174.93046875,-1.42,-23
174.950390625,-1.42,-18
174.9703125,-1.42,-8
174.990234375,-1.42,-35
175.01015625,-1.42,-5
175.030078125,-1.42,-77
175.05,-1.42,-212
175.069921875,-1.42,-588
175.08984375,-1.42,-1009
175.109765625,-1.42,-1592
175.1296875,-1.42,-2596
175.149609375,-1.42,-2985
175.16953125,-1.42,-3263
175.189453125,-1.42,-3495
175.209375,-1.42,-3731
174.890625,-1.44,-38
174.910546875,-1.44,-42
174.93046875,-1.44,-42
174.950390625,-1.44,-41
174.9703125,-1.44,-7
174.990234375,-1.44,2
175.01015625,-1.44,4
175.030078125,-1.44,-24
175.05,-1.44,-48
175.069921875,-1.44,-259
175.08984375,-1.44,-698
175.109765625,-1.44,-1376
175.1296875,-1.44,-2643
175.149609375,-1.44,-3055
175.16953125,-1.44,-3360
175.189453125,-1.44,-3609
175.209375,-1.44,-3828
174.890625,-1.46,-17
174.910546875,-1.46,-29
174.93046875,-1.46,-38
174.950390625,-1.46,-41
174.9703125,-1.46,-22
174.990234375,-1.46,-20
175.01015625,-1.46,-16
175.030078125,-1.46,-4
175.05,-1.46,4
175.069921875,-1.46,3
175.08984375,-1.46,-341
175.109765625,-1.46,-1181
175.1296875,-1.46,-2760
175.149609375,-1.46,-3164
175.16953125,-1.46,-3478
175.189453125,-1.46,-3741
175.209375,-1.46,-3960
174.890625,-1.48,3
174.910546875,-1.48,-14
174.93046875,-1.48,-13
174.950390625,-1.48,-23
174.9703125,-1.48,-7
174.990234375,-1.48,-9
175.01015625,-1.48,-33
175.030078125,-1.48,-5
175.05,-1.48,-4
175.069921875,-1.48,5
175.08984375,-1.48,-128
175.109765625,-1.48,-1081
175.1296875,-1.48,-2747
175.149609375,-1.48,-3131
175.16953125,-1.48,-3465
175.189453125,-1.48,-3735
175.209375,-1.48,-3970
174.890625,-1.5,9
174.910546875,-1.5,14
174.93046875,-1.5,16
174.950390625,-1.5,17
174.9703125,-1.5,19
174.990234375,-1.5,14
175.01015625,-1.5,8
175.030078125,-1.5,-7
175.05,-1.5,-5
175.069921875,-1.5,-3
175.08984375,-1.5,-251
175.109765625,-1.5,-1032
175.1296875,-1.5,-2671
175.149609375,-1.5,-3095
175.16953125,-1.5,-3440
175.189453125,-1.5,-3729
175.209375,-1.5,-3966
174.890625,-1.52,-89
174.910546875,-1.52,-41
174.93046875,-1.52,-28
174.950390625,-1.52,-16
174.9703125,-1.52,-28
174.990234375,-1.52,-46
175.01015625,-1.52,-25
175.030078125,-1.52,-27
175.05,-1.52,-6
175.069921875,-1.52,1
175.08984375,-1.52,-181
175.109765625,-1.52,-964
175.1296875,-1.52,-2596
175.149609375,-1.52,-3012
175.16953125,-1.52,-3400
175.189453125,-1.52,-3709
175.209375,-1.52,-3940
174.890625,-1.54,-373
174.910546875,-1.54,-273
174.93046875,-1.54,-226
174.950390625,-1.54,-208
174.9703125,-1.54,-241
174.990234375,-1.54,-277
175.01015625,-1.54,-299
175.030078125,-1.54,-258
175.05,-1.54,-30
175.069921875,-1.54,2
175.08984375,-1.54,-14
175.109765625,-1.54,-967
175.1296875,-1.54,-2483
175.149609375,-1.54,-2976
175.16953125,-1.54,-3354
175.189453125,-1.54,-3653
175.209375,-1.54,-3890
174.890625,-1.56,-843
174.910546875,-1.56,-669
174.93046875,-1.56,-604
174.950390625,-1.56,-563
174.9703125,-1.56,-595
174.990234375,-1.56,-648
175.01015625,-1.56,-718
175.030078125,-1.56,-853
175.05,-1.56,-1028
175.069921875,-1.56,-983
175.08984375,-1.56,-1273
175.109765625,-1.56,-1421
175.1296875,-1.56,-2342
175.149609375,-1.56,-2891
175.16953125,-1.56,-3262
175.189453125,-1.56,-3585
175.209375,-1.56,-3844
174.890625,-1.58,-1455
174.910546875,-1.58,-1281
174.93046875,-1.58,-1168
174.950390625,-1.58,-1106
174.9703125,-1.58,-1097
174.990234375,-1.58,-1147
175.01015625,-1.58,-1262
175.030078125,-1.58,-1462
175.05,-1.58,-1684
175.069921875,-1.58,-1781
175.08984375,-1.58,-1870
175.109765625,-1.58,-1828
175.1296875,-1.58,-2218
175.149609375,-1.58,-2653
175.16953125,-1.58,-3106
175.189453125,-1.58,-3512
175.209375,-1.58,-3844
174.890625,-1.6,-2113
174.910546875,-1.6,-1949
174.93046875,-1.6,-1812
174.950390625,-1.6,-1734
174.9703125,-1.6,-1679
174.990234375,-1.6,-1703
175.01015625,-1.6,-1798
175.030078125,-1.6,-1971
175.05,-1.6,-2179
175.069921875,-1.6,-2252
175.08984375,-1.6,-2250
175.109765625,-1.6,-2121
175.1296875,-1.6,-2178
175.149609375,-1.6,-2479
175.16953125,-1.6,-3012
175.189453125,-1.6,-3511
175.209375,-1.6,-3901
