V1,V2,V3
-157.65,2.1,-2075
-157.63,2.1,-2082
-157.61,2.1,-2088
-157.59,2.1,-2114
-157.57,2.1,-2141
-157.55,2.1,-1968
-157.53,2.1,-615
-157.51,2.1,-240
-157.49,2.1,-3
-157.47,2.1,31
-157.45,2.1,-4
-157.43,2.1,-35
-157.41,2.1,-81
-157.39,2.1,-438
-157.37,2.1,-656
-157.35,2.1,-918
-157.33,2.1,-1199
-157.31,2.1,-1550
-157.29,2.1,-1813
-157.27,2.1,-2130
-157.25,2.1,-2175
-157.23,2.1,-2301
-157.21,2.1,-2470
-157.19,2.1,-2710
-157.17,2.1,-2963
-157.15,2.1,-3183
-157.65,2.08,-2037
-157.63,2.08,-2020
-157.61,2.08,-2020
-157.59,2.08,-2041
-157.57,2.08,-2040
-157.55,2.08,-1875
-157.53,2.08,-834
-157.51,2.08,-312
-157.49,2.08,-8
-157.47,2.08,56
-157.45,2.08,33
-157.43,2.08,13
-157.41,2.08,-24
-157.39,2.08,-181
-157.37,2.08,-284
-157.35,2.08,-424
-157.33,2.08,-651
-157.31,2.08,-983
-157.29,2.08,-1419
-157.27,2.08,-1966
-157.25,2.08,-2035
-157.23,2.08,-2138
-157.21,2.08,-2293
-157.19,2.08,-2496
-157.17,2.08,-2721
-157.15,2.08,-2943
-157.65,2.06,-1984
-157.63,2.06,-1922
-157.61,2.06,-1882
-157.59,2.06,-1866
-157.57,2.06,-1869
-157.55,2.06,-1791
-157.53,2.06,-979
-157.51,2.06,-283
-157.49,2.06,-6
-157.47,2.06,4
-157.45,2.06,-13
-157.43,2.06,1
-157.41,2.06,-29
-157.39,2.06,-24
-157.37,2.06,-20
-157.35,2.06,-24
-157.33,2.06,-172
-157.31,2.06,-385
-157.29,2.06,-923
-157.27,2.06,-1698
-157.25,2.06,-1858
-157.23,2.06,-1993
-157.21,2.06,-2127
-157.19,2.06,-2281
-157.17,2.06,-2462
-157.15,2.06,-2663
-157.65,2.04,-1914
-157.63,2.04,-1802
-157.61,2.04,-1717
-157.59,2.04,-1651
-157.57,2.04,-1591
-157.55,2.04,-1460
-157.53,2.04,-660
-157.51,2.04,3
-157.49,2.04,6
-157.47,2.04,4
-157.45,2.04,5
-157.43,2.04,6
-157.41,2.04,3
-157.39,2.04,36
-157.37,2.04,71
-157.35,2.04,82
-157.33,2.04,17
-157.31,2.04,-124
-157.29,2.04,-383
-157.27,2.04,-1234
-157.25,2.04,-1654
-157.23,2.04,-1862
-157.21,2.04,-1962
-157.19,2.04,-2077
-157.17,2.04,-2217
-157.15,2.04,-2378
-157.65,2.02,-1873
-157.63,2.02,-1701
-157.61,2.02,-1576
-157.59,2.02,-1429
-157.57,2.02,-1279
-157.55,2.02,-1070
-157.53,2.02,-481
-157.51,2.02,-122
-157.49,2.02,-59
-157.47,2.02,1
-157.45,2.02,-5
-157.43,2.02,4
-157.41,2.02,6
-157.39,2.02,31
-157.37,2.02,50
-157.35,2.02,52
-157.33,2.02,26
-157.31,2.02,-23
-157.29,2.02,23
-157.27,2.02,-802
-157.25,2.02,-1511
-157.23,2.02,-1745
-157.21,2.02,-1802
-157.19,2.02,-1914
-157.17,2.02,-2013
-157.15,2.02,-2131
-157.65,2,-1894
-157.63,2,-1705
-157.61,2,-1518
-157.59,2,-1296
-157.57,2,-1030
-157.55,2,-736
-157.53,2,-261
-157.51,2,-112
-157.49,2,-30
-157.47,2,0
-157.45,2,1
-157.43,2,1
-157.41,2,3
-157.39,2,4
-157.37,2,-1
-157.35,2,-13
-157.33,2,9
-157.31,2,44
-157.29,2,116
-157.27,2,-612
-157.25,2,-1265
-157.23,2,-1622
-157.21,2,-1762
-157.19,2,-1836
-157.17,2,-1895
-157.15,2,-1960
-157.65,1.98,-1892
-157.63,1.98,-1698
-157.61,1.98,-1497
-157.59,1.98,-1229
-157.57,1.98,-805
-157.55,1.98,-393
-157.53,1.98,-13
-157.51,1.98,2
-157.49,1.98,-8
-157.47,1.98,-3
-157.45,1.98,-5
-157.43,1.98,1
-157.41,1.98,1
-157.39,1.98,3
-157.37,1.98,2
-157.35,1.98,3
-157.33,1.98,2
-157.31,1.98,2
-157.29,1.98,2
-157.27,1.98,-614
-157.25,1.98,-1087
-157.23,1.98,-1439
-157.21,1.98,-1652
-157.19,1.98,-1753
-157.17,1.98,-1792
-157.15,1.98,-1821
-157.65,1.96,-1798
-157.63,1.96,-1586
-157.61,1.96,-1365
-157.59,1.96,-1164
-157.57,1.96,-678
-157.55,1.96,-292
-157.53,1.96,-3
-157.51,1.96,7
-157.49,1.96,-14
-157.47,1.96,-24
-157.45,1.96,-25
-157.43,1.96,-7
-157.41,1.96,19
-157.39,1.96,-45
-157.37,1.96,0
-157.35,1.96,-24
-157.33,1.96,0
-157.31,1.96,-2
-157.29,1.96,1
-157.27,1.96,-646
-157.25,1.96,-1049
-157.23,1.96,-1368
-157.21,1.96,-1590
-157.19,1.96,-1719
-157.17,1.96,-1773
-157.15,1.96,-1820
-157.65,1.94,-1662
-157.63,1.94,-1365
-157.61,1.94,-1032
-157.59,1.94,-693
-157.57,1.94,-385
-157.55,1.94,-146
-157.53,1.94,6
-157.51,1.94,2
-157.49,1.94,-13
-157.47,1.94,-41
-157.45,1.94,-65
-157.43,1.94,-57
-157.41,1.94,1
-157.39,1.94,2
-157.37,1.94,-1
-157.35,1.94,1
-157.33,1.94,-8
-157.31,1.94,-7
-157.29,1.94,-82
-157.27,1.94,-636
-157.25,1.94,-982
-157.23,1.94,-1289
-157.21,1.94,-1533
-157.19,1.94,-1694
-157.17,1.94,-1788
-157.15,1.94,-1839
-157.65,1.92,-1526
-157.63,1.92,-1169
-157.61,1.92,-743
-157.59,1.92,-276
