V1,V2,V3
174.873076923,-1.4,-36
174.8984615384,-1.4,-37
174.9238461538,-1.4,-23
174.9492307692,-1.4,-18
174.9746153846,-1.4,-8
175,-1.4,-35
175.0253846154,-1.4,-5
175.0507692308,-1.4,-212
175.0761538462,-1.4,-588
175.1015384616,-1.4,-1592
175.126923077,-1.4,-2111
174.873076923,-1.425,-33
174.8984615384,-1.425,-38
174.9238461538,-1.425,-42
174.9492307692,-1.425,-41
174.9746153846,-1.425,-7
175,-1.425,2
175.0253846154,-1.425,4
175.0507692308,-1.425,-48
175.0761538462,-1.425,-259
175.1015384616,-1.425,-1376
175.126923077,-1.425,-2086
174.873076923,-1.45,-25
174.8984615384,-1.45,-30
174.9238461538,-1.45,-49
174.9492307692,-1.45,-52
174.9746153846,-1.45,-19
175,-1.45,-18
175.0253846154,-1.45,-1
175.0507692308,-1.45,-8
175.0761538462,-1.45,-94
175.1015384616,-1.45,-1285
175.126923077,-1.45,-2190
174.873076923,-1.475,-10
174.8984615384,-1.475,3
174.9238461538,-1.475,-13
174.9492307692,-1.475,-23
174.9746153846,-1.475,-7
175,-1.475,-9
175.0253846154,-1.475,-33
175.0507692308,-1.475,-4
175.0761538462,-1.475,5
175.1015384616,-1.475,-1081
175.126923077,-1.475,-2150
174.873076923,-1.5,-4
174.8984615384,-1.5,9
174.9238461538,-1.5,16
174.9492307692,-1.5,17
174.9746153846,-1.5,19
175,-1.5,14
175.0253846154,-1.5,8
175.0507692308,-1.5,-5
175.0761538462,-1.5,-3
175.1015384616,-1.5,-1032
175.126923077,-1.5,-2004
174.873076923,-1.525,-485
174.8984615384,-1.525,-373
174.9238461538,-1.525,-226
174.9492307692,-1.525,-208
174.9746153846,-1.525,-241
175,-1.525,-277
175.0253846154,-1.525,-299
175.0507692308,-1.525,-30
175.0761538462,-1.525,2
175.1015384616,-1.525,-967
175.126923077,-1.525,-1836
174.873076923,-1.55,-1032
174.8984615384,-1.55,-843
174.9238461538,-1.55,-604
174.9492307692,-1.55,-563
174.9746153846,-1.55,-595
175,-1.55,-648
175.0253846154,-1.55,-718
175.0507692308,-1.55,-1028
175.0761538462,-1.55,-983
175.1015384616,-1.55,-1421
175.126923077,-1.55,-1798
174.873076923,-1.575,-1658
174.8984615384,-1.575,-1455
174.9238461538,-1.575,-1168
174.9492307692,-1.575,-1106
174.9746153846,-1.575,-1097
175,-1.575,-1147
175.0253846154,-1.575,-1262
175.0507692308,-1.575,-1684
175.0761538462,-1.575,-1781
175.1015384616,-1.575,-1828
175.126923077,-1.575,-1907
174.873076923,-1.6,-2905
174.8984615384,-1.6,-2718
174.9238461538,-1.6,-2432
174.9492307692,-1.6,-2344
174.9746153846,-1.6,-2255
175,-1.6,-2249
175.0253846154,-1.6,-2279
175.0507692308,-1.6,-2427
175.0761538462,-1.6,-2496
175.1015384616,-1.6,-2375
175.126923077,-1.6,-2268
174.873076923,-1.625,-3412
174.8984615384,-1.625,-3243
174.9238461538,-1.625,-2992
174.9492307692,-1.625,-2910
174.9746153846,-1.625,-2800
175,-1.625,-2758
175.0253846154,-1.625,-2717
175.0507692308,-1.625,-2629
175.0761538462,-1.625,-2719
175.1015384616,-1.625,-2639
175.126923077,-1.625,-2530
174.873076923,-1.65,-4117
174.8984615384,-1.65,-4008
174.9238461538,-1.65,-3836
174.9492307692,-1.65,-3776
174.9746153846,-1.65,-3653
175,-1.65,-3582
175.0253846154,-1.65,-3524
175.0507692308,-1.65,-3428
175.0761538462,-1.65,-3420
175.1015384616,-1.65,-3210
175.126923077,-1.65,-3013
174.873076923,-1.675,-4315
174.8984615384,-1.675,-4222
174.9238461538,-1.675,-4069
174.9492307692,-1.675,-4009
174.9746153846,-1.675,-3896
175,-1.675,-3838
175.0253846154,-1.675,-3784
175.0507692308,-1.675,-3710
175.0761538462,-1.675,-3693
175.1015384616,-1.675,-3461
175.126923077,-1.675,-3277
174.873076923,-1.7,-4435
174.8984615384,-1.7,-4349
174.9238461538,-1.7,-4203
174.9492307692,-1.7,-4145
174.9746153846,-1.7,-4051
175,-1.7,-4009
175.0253846154,-1.7,-3969
175.0507692308,-1.7,-3909
175.0761538462,-1.7,-3905
175.1015384616,-1.7,-3698
175.126923077,-1.7,-3531
