V1,V2,V3
172.9,1.40625,-166
172.92,1.40625,-24
172.94,1.40625,-4
172.96,1.40625,-1
172.98,1.40625,-1
173,1.40625,-1
173.02,1.40625,-1
173.04,1.40625,-1
173.06,1.40625,-1
173.08,1.40625,-1
173.1,1.40625,-1
173.12,1.40625,4
173.14,1.40625,4
173.16,1.40625,-16
173.18,1.40625,-47
173.2,1.40625,-291
172.9,1.38375,-321
172.92,1.38375,-13
172.94,1.38375,-27
172.96,1.38375,-1
172.98,1.38375,-11
173,1.38375,-1
173.02,1.38375,-3
173.04,1.38375,-1
173.06,1.38375,-1
173.08,1.38375,-37
173.1,1.38375,111
173.12,1.38375,-42
173.14,1.38375,3
173.16,1.38375,-80
173.18,1.38375,1
173.2,1.38375,-489
172.9,1.36125,-330
172.92,1.36125,1
172.94,1.36125,-26
172.96,1.36125,-1
172.98,1.36125,-1
173,1.36125,-1
173.02,1.36125,-1
173.04,1.36125,-1
173.06,1.36125,-1
173.08,1.36125,2
173.1,1.36125,1
173.12,1.36125,2
173.14,1.36125,2
173.16,1.36125,4
173.18,1.36125,5
173.2,1.36125,-834
172.9,1.33875,-1272
172.92,1.33875,-968
172.94,1.33875,-913
172.96,1.33875,-530
172.98,1.33875,3
173,1.33875,1
173.02,1.33875,2
173.04,1.33875,2
173.06,1.33875,-1396
173.08,1.33875,-2192
173.1,1.33875,-2525
173.12,1.33875,-2622
173.14,1.33875,-2502
173.16,1.33875,-2421
173.18,1.33875,-2224
173.2,1.33875,-2153
172.9,1.31625,-2079
172.92,1.31625,-1875
172.94,1.31625,-1738
172.96,1.31625,-1365
172.98,1.31625,-1206
173,1.31625,-811
173.02,1.31625,-1028
173.04,1.31625,-1231
173.06,1.31625,-2429
173.08,1.31625,-2654
173.1,1.31625,-2824
173.12,1.31625,-2800
173.14,1.31625,-2816
173.16,1.31625,-2664
173.18,1.31625,-2571
173.2,1.31625,-2427
172.9,1.29375,-2660
172.92,1.29375,-2441
172.94,1.29375,-2150
172.96,1.29375,-1775
172.98,1.29375,-1426
173,1.29375,-1109
173.02,1.29375,-1157
173.04,1.29375,-1600
173.06,1.29375,-2646
173.08,1.29375,-2838
173.1,1.29375,-2981
173.12,1.29375,-3039
173.14,1.29375,-3036
173.16,1.29375,-2942
173.18,1.29375,-2831
173.2,1.29375,-2707
