V1,V2,V3
174.9,-1.3,-1238
174.91875,-1.3,-1630
174.9375,-1.3,-2003
174.95625,-1.3,-2320
174.975,-1.3,-2622
174.99375,-1.3,-2921
175.0125,-1.3,-3203
175.03125,-1.3,-3345
175.05,-1.3,-3502
175.06875,-1.3,-3735
175.0875,-1.3,-3966
175.10625,-1.3,-4118
175.125,-1.3,-4245
175.14375,-1.3,-4361
175.1625,-1.3,-4462
175.18125,-1.3,-4485
175.2,-1.3,-4522
174.9,-1.31875,-697
174.91875,-1.31875,-1041
174.9375,-1.31875,-1382
174.95625,-1.31875,-1700
174.975,-1.31875,-2003
174.99375,-1.31875,-2300
175.0125,-1.31875,-2602
175.03125,-1.31875,-2886
175.05,-1.31875,-3179
175.06875,-1.31875,-3465
175.0875,-1.31875,-3704
175.10625,-1.31875,-3864
175.125,-1.31875,-3990
175.14375,-1.31875,-4125
175.1625,-1.31875,-4230
175.18125,-1.31875,-4243
175.2,-1.31875,-4251
174.9,-1.3375,-257
174.91875,-1.3375,-534
174.9375,-1.3375,-814
174.95625,-1.3375,-1087
174.975,-1.3375,-1342
174.99375,-1.3375,-1569
175.0125,-1.3375,-1862
175.03125,-1.3375,-2265
175.05,-1.3375,-2717
175.06875,-1.3375,-3091
175.0875,-1.3375,-3379
175.10625,-1.3375,-3523
175.125,-1.3375,-3617
175.14375,-1.3375,-3769
175.1625,-1.3375,-3919
175.18125,-1.3375,-3905
175.2,-1.3375,-3895
174.9,-1.35625,-69
174.91875,-1.35625,-206
174.9375,-1.35625,-388
174.95625,-1.35625,-563
174.975,-1.35625,-704
174.99375,-1.35625,-842
175.0125,-1.35625,-1083
175.03125,-1.35625,-1544
175.05,-1.35625,-2094
175.06875,-1.35625,-2580
175.0875,-1.35625,-2937
175.10625,-1.35625,-3106
175.125,-1.35625,-3204
175.14375,-1.35625,-3323
175.1625,-1.35625,-3447
175.18125,-1.35625,-3551
175.2,-1.35625,-3658
174.9,-1.375,-9
174.91875,-1.375,-32
174.9375,-1.375,-122
174.95625,-1.375,-205
174.975,-1.375,-246
174.99375,-1.375,-286
175.0125,-1.375,-379
175.03125,-1.375,-856
175.05,-1.375,-1429
175.06875,-1.375,-1950
175.0875,-1.375,-2415
175.10625,-1.375,-2608
175.125,-1.375,-2751
175.14375,-1.375,-2913
175.1625,-1.375,-3058
175.18125,-1.375,-3291
175.2,-1.375,-3494
174.9,-1.39375,-20
174.91875,-1.39375,-5
174.9375,-1.39375,-9
174.95625,-1.39375,-35
174.975,-1.39375,-46
174.99375,-1.39375,-57
175.0125,-1.39375,-111
175.03125,-1.39375,-360
175.05,-1.39375,-744
175.06875,-1.39375,-1212
175.0875,-1.39375,-1666
175.10625,-1.39375,-2048
175.125,-1.39375,-2369
175.14375,-1.39375,-2674
175.1625,-1.39375,-2950
175.18125,-1.39375,-3214
175.2,-1.39375,-3453
174.9,-1.4125,-35
174.91875,-1.4125,-23
174.9375,-1.4125,-18
174.95625,-1.4125,1
174.975,-1.4125,-8
174.99375,-1.4125,-35
