V1,V2,V3
-157.644230769,2.1,-2075
-157.62451923055,2.1,-2082
-157.6048076921,2.1,-2088
-157.58509615365,2.1,-2114
-157.5653846152,2.1,-1968
-157.54567307675,2.1,-1358
-157.5259615383,2.1,-615
-157.50624999985,2.1,-240
-157.4865384614,2.1,-3
-157.46682692295,2.1,31
-157.4471153845,2.1,-4
-157.42740384605,2.1,-81
-157.4076923076,2.1,-245
-157.38798076915,2.1,-438
-157.3682692307,2.1,-656
-157.34855769225,2.1,-918
-157.3288461538,2.1,-1199
-157.30913461535,2.1,-1813
-157.2894230769,2.1,-2027
-157.26971153845,2.1,-2130
-157.25,2.1,-2175
-157.23028846155,2.1,-2301
-157.2105769231,2.1,-2470
-157.19086538465,2.1,-2710
-157.1711538462,2.1,-3183
-157.15144230775,2.1,-3391
-157.1317307693,2.1,-3584
-157.11201923085,2.1,-3751
-157.0923076924,2.1,-3870
-157.07259615395,2.1,-3948
-157.0528846155,2.1,-3965
-157.03317307705,2.1,-3940
-157.0134615386,2.1,-3917
-156.99375000015,2.1,-3912
-156.9740384617,2.1,-3928
-156.95432692325,2.1,-3967
-156.9346153848,2.1,-4024
-156.91490384635,2.1,-4161
-156.8951923079,2.1,-4225
-156.87548076945,2.1,-4284
-156.855769231,2.1,-4330
-157.644230769,2.08,-2037
-157.62451923055,2.08,-2020
-157.6048076921,2.08,-2020
-157.58509615365,2.08,-2041
-157.5653846152,2.08,-1875
-157.54567307675,2.08,-1417
-157.5259615383,2.08,-834
-157.50624999985,2.08,-312
-157.4865384614,2.08,-8
-157.46682692295,2.08,56
-157.4471153845,2.08,33
-157.42740384605,2.08,-24
-157.4076923076,2.08,-92
-157.38798076915,2.08,-181
-157.3682692307,2.08,-284
-157.34855769225,2.08,-424
-157.3288461538,2.08,-651
-157.30913461535,2.08,-1419
-157.2894230769,2.08,-1805
-157.26971153845,2.08,-1966
-157.25,2.08,-2035
-157.23028846155,2.08,-2138
-157.2105769231,2.08,-2293
-157.19086538465,2.08,-2496
-157.1711538462,2.08,-2943
-157.15144230775,2.08,-3154
-157.1317307693,2.08,-3343
-157.11201923085,2.08,-3505
-157.0923076924,2.08,-3623
-157.07259615395,2.08,-3698
-157.0528846155,2.08,-3719
-157.03317307705,2.08,-3697
-157.0134615386,2.08,-3680
-156.99375000015,2.08,-3680
-156.9740384617,2.08,-3707
-156.95432692325,2.08,-3760
-156.9346153848,2.08,-3835
-156.91490384635,2.08,-4027
-156.8951923079,2.08,-4125
-156.87548076945,2.08,-4218
-156.855769231,2.08,-4296
-157.644230769,2.06,-1984
-157.62451923055,2.06,-1922
-157.6048076921,2.06,-1882
-157.58509615365,2.06,-1866
-157.5653846152,2.06,-1791
-157.54567307675,2.06,-1422
-157.5259615383,2.06,-979
-157.50624999985,2.06,-283
-157.4865384614,2.06,-6
-157.46682692295,2.06,4
-157.4471153845,2.06,-13
-157.42740384605,2.06,-29
-157.4076923076,2.06,-25
-157.38798076915,2.06,-24
-157.3682692307,2.06,-20
-157.34855769225,2.06,-24
-157.3288461538,2.06,-172
-157.30913461535,2.06,-923
-157.2894230769,2.06,-1498
-157.26971153845,2.06,-1698
-157.25,2.06,-1858
-157.23028846155,2.06,-1993
-157.2105769231,2.06,-2127
-157.19086538465,2.06,-2281
-157.1711538462,2.06,-2663
-157.15144230775,2.06,-2866
-157.1317307693,2.06,-3042
-157.11201923085,2.06,-3197
-157.0923076924,2.06,-3308
-157.07259615395,2.06,-3383
-157.0528846155,2.06,-3405
-157.03317307705,2.06,-3385
-157.0134615386,2.06,-3377
-156.99375000015,2.06,-3387
-156.9740384617,2.06,-3430
-156.95432692325,2.06,-3502
-156.9346153848,2.06,-3603
-156.91490384635,2.06,-3857
-156.8951923079,2.06,-3993
-156.87548076945,2.06,-4124
-156.855769231,2.06,-4237
-157.644230769,2.04,-1914
-157.62451923055,2.04,-1802
-157.6048076921,2.04,-1717
-157.58509615365,2.04,-1651
-157.5653846152,2.04,-1460
-157.54567307675,2.04,-1159
-157.5259615383,2.04,-660
-157.50624999985,2.04,3
-157.4865384614,2.04,6
-157.46682692295,2.04,4
-157.4471153845,2.04,5
-157.42740384605,2.04,3
-157.4076923076,2.04,6
-157.38798076915,2.04,36
-157.3682692307,2.04,71
-157.34855769225,2.04,82
-157.3288461538,2.04,17
-157.30913461535,2.04,-383
-157.2894230769,2.04,-755
-157.26971153845,2.04,-1234
-157.25,2.04,-1654
-157.23028846155,2.04,-1862
-157.2105769231,2.04,-1962
-157.19086538465,2.04,-2077
-157.1711538462,2.04,-2378
-157.15144230775,2.04,-2543
-157.1317307693,2.04,-2700
-157.11201923085,2.04,-2836
-157.0923076924,2.04,-2939
-157.07259615395,2.04,-3005
-157.0528846155,2.04,-3024
-157.03317307705,2.04,-3010
-157.0134615386,2.04,-3010
-156.99375000015,2.04,-3036
-156.9740384617,2.04,-3100
-156.95432692325,2.04,-3201
-156.9346153848,2.04,-3334
-156.91490384635,2.04,-3655
-156.8951923079,2.04,-3828
-156.87548076945,2.04,-3996
-156.855769231,2.04,-4148
-157.644230769,2.02,-1873
-157.62451923055,2.02,-1701
-157.6048076921,2.02,-1576
-157.58509615365,2.02,-1429
-157.5653846152,2.02,-1070
-157.54567307675,2.02,-808
-157.5259615383,2.02,-481
-157.50624999985,2.02,-122
-157.4865384614,2.02,-59
-157.46682692295,2.02,1
-157.4471153845,2.02,-5
-157.42740384605,2.02,6
-157.4076923076,2.02,3
-157.38798076915,2.02,31
-157.3682692307,2.02,50
-157.34855769225,2.02,52
-157.3288461538,2.02,26
-157.30913461535,2.02,23
-157.2894230769,2.02,-50
-157.26971153845,2.02,-802
-157.25,2.02,-1511
-157.23028846155,2.02,-1745
-157.2105769231,2.02,-1802
-157.19086538465,2.02,-1914
-157.1711538462,2.02,-2131
-157.15144230775,2.02,-2244
-157.1317307693,2.02,-2369
-157.11201923085,2.02,-2475
-157.0923076924,2.02,-2558
-157.07259615395,2.02,-2612
-157.0528846155,2.02,-2615
-157.03317307705,2.02,-2601
-157.0134615386,2.02,-2610
-156.99375000015,2.02,-2653
-156.9740384617,2.02,-2740
-156.95432692325,2.02,-2870
-156.9346153848,2.02,-3040
-156.91490384635,2.02,-3432
-156.8951923079,2.02,-3641
-156.87548076945,2.02,-3844
-156.855769231,2.02,-4031
-157.644230769,2,-1894
-157.62451923055,2,-1705
-157.6048076921,2,-1518
-157.58509615365,2,-1296
-157.5653846152,2,-736
-157.54567307675,2,-478
-157.5259615383,2,-261
-157.50624999985,2,-112
-157.4865384614,2,-30
-157.46682692295,2,0
-157.4471153845,2,1
-157.42740384605,2,3
-157.4076923076,2,6
-157.38798076915,2,4
-157.3682692307,2,-1
-157.34855769225,2,-13
-157.3288461538,2,9
-157.30913461535,2,116
-157.2894230769,2,-23
-157.26971153845,2,-612
-157.25,2,-1265
-157.23028846155,2,-1622
-157.2105769231,2,-1762
-157.19086538465,2,-1836
-157.1711538462,2,-1960
-157.15144230775,2,-2028
-157.1317307693,2,-2100
-157.11201923085,2,-2161
-157.0923076924,2,-2208
-157.07259615395,2,-2228
-157.0528846155,2,-2207
-157.03317307705,2,-2198
-157.0134615386,2,-2213
-156.99375000015,2,-2271
-156.9740384617,2,-2376
-156.95432692325,2,-2530
-156.9346153848,2,-2727
-156.91490384635,2,-3199
-156.8951923079,2,-3441
-156.87548076945,2,-3673
-156.855769231,2,-3888
-157.644230769,1.98,-1892
-157.62451923055,1.98,-1698
-157.6048076921,1.98,-1497
-157.58509615365,1.98,-1229
-157.5653846152,1.98,-393
-157.54567307675,1.98,-131
-157.5259615383,1.98,-13
-157.50624999985,1.98,2
-157.4865384614,1.98,-8
-157.46682692295,1.98,-3
-157.4471153845,1.98,-5
-157.42740384605,1.98,1
-157.4076923076,1.98,2
-157.38798076915,1.98,3
-157.3682692307,1.98,2
-157.34855769225,1.98,3
-157.3288461538,1.98,2
-157.30913461535,1.98,2
-157.2894230769,1.98,-198
-157.26971153845,1.98,-614
-157.25,1.98,-1087
-157.23028846155,1.98,-1439
-157.2105769231,1.98,-1652
-157.19086538465,1.98,-1753
-157.1711538462,1.98,-1821
-157.15144230775,1.98,-1840
-157.1317307693,1.98,-1845
-157.11201923085,1.98,-1833
-157.0923076924,1.98,-1809
-157.07259615395,1.98,-1767
-157.0528846155,1.98,-1662
-157.03317307705,1.98,-1634
-157.0134615386,1.98,-1642
-156.99375000015,1.98,-1708
-156.9740384617,1.98,-1827
-156.95432692325,1.98,-2003
-156.9346153848,1.98,-2226
-156.91490384635,1.98,-2775
-156.8951923079,1.98,-3053
-156.87548076945,1.98,-3312
-156.855769231,1.98,-3546
-157.644230769,1.96,-1798
-157.62451923055,1.96,-1586
-157.6048076921,1.96,-1365
-157.58509615365,1.96,-1164
-157.5653846152,1.96,-292
-157.54567307675,1.96,-76
-157.5259615383,1.96,-3
-157.50624999985,1.96,7
-157.4865384614,1.96,-14
-157.46682692295,1.96,-24
-157.4471153845,1.96,-25
-157.42740384605,1.96,19
-157.4076923076,1.96,-6
-157.38798076915,1.96,-45
-157.3682692307,1.96,0
-157.34855769225,1.96,-24
-157.3288461538,1.96,0
-157.30913461535,1.96,1
-157.2894230769,1.96,-270
-157.26971153845,1.96,-646
-157.25,1.96,-1049
-157.23028846155,1.96,-1368
-157.2105769231,1.96,-1590
-157.19086538465,1.96,-1719
