V1,V2,V3
-159.5,4.026923077,-1919
-159.475,4.026923077,-1743
-159.45,4.026923077,-1496
-159.425,4.026923077,-1028
-159.4,4.026923077,-1022
-159.375,4.026923077,-1179
-159.35,4.026923077,-1344
-159.325,4.026923077,-1505
-159.3,4.026923077,-1822
-159.275,4.026923077,-1913
-159.25,4.026923077,-2259
-159.225,4.026923077,-2470
-159.2,4.026923077,-2645
-159.5,4.0015384616,-1730
-159.475,4.0015384616,-1624
-159.45,4.0015384616,-1477
-159.425,4.0015384616,-1031
-159.4,4.0015384616,-833
-159.375,4.0015384616,-680
-159.35,4.0015384616,-724
-159.325,4.0015384616,-825
-159.3,4.0015384616,-1372
-159.275,4.0015384616,-1744
-159.25,4.0015384616,-2221
-159.225,4.0015384616,-2372
-159.2,4.0015384616,-2497
-159.5,3.9761538462,-1601
-159.475,3.9761538462,-1491
-159.45,3.9761538462,-1364
-159.425,3.9761538462,-915
-159.4,3.9761538462,-541
-159.375,3.9761538462,-44
-159.35,3.9761538462,1
-159.325,3.9761538462,-12
-159.3,3.9761538462,-575
-159.275,3.9761538462,-1025
-159.25,3.9761538462,-1514
-159.225,3.9761538462,-1686
-159.2,3.9761538462,-1869
-159.5,3.9507692308,-1641
-159.475,3.9507692308,-1459
-159.45,3.9507692308,-1242
-159.425,3.9507692308,-807
-159.4,3.9507692308,-435
-159.375,3.9507692308,4
-159.35,3.9507692308,-14
-159.325,3.9507692308,9
-159.3,3.9507692308,-294
-159.275,3.9507692308,-537
-159.25,3.9507692308,-859
-159.225,3.9507692308,-1101
-159.2,3.9507692308,-1368
-159.5,3.9253846154,-1650
-159.475,3.9253846154,-1560
-159.45,3.9253846154,-1402
-159.425,3.9253846154,-752
-159.4,3.9253846154,-205
-159.375,3.9253846154,-50
-159.35,3.9253846154,-137
-159.325,3.9253846154,-41
-159.3,3.9253846154,2
-159.275,3.9253846154,-8
-159.25,3.9253846154,-3
-159.225,3.9253846154,-174
-159.2,3.9253846154,-401
-159.5,3.9,-1759
-159.475,3.9,-1713
-159.45,3.9,-1608
-159.425,3.9,-749
-159.4,3.9,2
-159.375,3.9,-32
-159.35,3.9,-55
-159.325,3.9,1
-159.3,3.9,21
-159.275,3.9,33
-159.25,3.9,50
-159.225,3.9,-27
-159.2,3.9,-200
-159.5,3.8746153846,-1898
-159.475,3.8746153846,-1915
-159.45,3.8746153846,-1879
-159.425,3.8746153846,-1161
-159.4,3.8746153846,-415
-159.375,3.8746153846,4
-159.35,3.8746153846,-4
-159.325,3.8746153846,0
-159.3,3.8746153846,2
-159.275,3.8746153846,1
-159.25,3.8746153846,1
-159.225,3.8746153846,-51
-159.2,3.8746153846,-201
-159.5,3.8492307692,-2421
-159.475,3.8492307692,-2353
-159.45,3.8492307692,-2330
-159.425,3.8492307692,-2107
-159.4,3.8492307692,-1168
-159.375,3.8492307692,3
-159.35,3.8492307692,-130
-159.325,3.8492307692,-1
-159.3,3.8492307692,-29
-159.275,3.8492307692,-37
-159.25,3.8492307692,-67
-159.225,3.8492307692,-425
-159.2,3.8492307692,-887
-159.5,3.8238461538,-2536
-159.475,3.8238461538,-2482
-159.45,3.8238461538,-2460
-159.425,3.8238461538,-2251
-159.4,3.8238461538,-1746
-159.375,3.8238461538,-498
-159.35,3.8238461538,4
-159.325,3.8238461538,117
-159.3,3.8238461538,-2
-159.275,3.8238461538,14
-159.25,3.8238461538,4
-159.225,3.8238461538,-806
-159.2,3.8238461538,-1252
-159.5,3.7984615384,-2644
-159.475,3.7984615384,-2623
-159.45,3.7984615384,-2588
-159.425,3.7984615384,-2458
-159.4,3.7984615384,-2426
-159.375,3.7984615384,-1948
-159.35,3.7984615384,-1463
-159.325,3.7984615384,-808
-159.3,3.7984615384,1
-159.275,3.7984615384,-767
-159.25,3.7984615384,-1890
-159.225,3.7984615384,-2048
-159.2,3.7984615384,-1949
-159.5,3.773076923,-2685
-159.475,3.773076923,-2673
-159.45,3.773076923,-2665
-159.425,3.773076923,-2490
-159.4,3.773076923,-2455
-159.375,3.773076923,-2341
-159.35,3.773076923,-2301
-159.325,3.773076923,-2050
-159.3,3.773076923,-1664
-159.275,3.773076923,-2061
-159.25,3.773076923,-2199
-159.225,3.773076923,-2210
-159.2,3.773076923,-2109
