V1,V2,V3
172.9,1.607142857,-674
172.915384615385,1.607142857,-260
172.930769230769,1.607142857,-48
172.946153846154,1.607142857,29
172.961538461538,1.607142857,4
172.976923076923,1.607142857,-297
172.992307692308,1.607142857,-656
173.007692307692,1.607142857,-656
173.023076923077,1.607142857,-933
173.038461538462,1.607142857,-1049
173.053846153846,1.607142857,-1195
173.069230769231,1.607142857,-1567
173.084615384615,1.607142857,-2048
173.1,1.607142857,-2486
172.9,1.59183673457143,-702
172.915384615385,1.59183673457143,-263
172.930769230769,1.59183673457143,-69
172.946153846154,1.59183673457143,-3
172.961538461538,1.59183673457143,6
172.976923076923,1.59183673457143,-121
172.992307692308,1.59183673457143,-197
173.007692307692,1.59183673457143,-197
173.023076923077,1.59183673457143,-167
173.038461538462,1.59183673457143,-337
173.053846153846,1.59183673457143,-524
173.069230769231,1.59183673457143,-1013
173.084615384615,1.59183673457143,-1569
173.1,1.59183673457143,-2078
172.9,1.57653061214286,-812
172.915384615385,1.57653061214286,-381
172.930769230769,1.57653061214286,-89
172.946153846154,1.57653061214286,-1
172.961538461538,1.57653061214286,4
172.976923076923,1.57653061214286,-43
172.992307692308,1.57653061214286,-16
173.007692307692,1.57653061214286,-16
173.023076923077,1.57653061214286,58
173.038461538462,1.57653061214286,7
173.053846153846,1.57653061214286,-184
173.069230769231,1.57653061214286,-575
173.084615384615,1.57653061214286,-1082
173.1,1.57653061214286,-1633
172.9,1.56122448971429,-923
172.915384615385,1.56122448971429,-490
172.930769230769,1.56122448971429,-29
172.946153846154,1.56122448971429,-17
172.961538461538,1.56122448971429,-1
172.976923076923,1.56122448971429,-11
172.992307692308,1.56122448971429,-25
173.007692307692,1.56122448971429,-25
173.023076923077,1.56122448971429,65
173.038461538462,1.56122448971429,90
173.053846153846,1.56122448971429,-10
173.069230769231,1.56122448971429,-268
173.084615384615,1.56122448971429,-656
173.1,1.56122448971429,-1184
172.9,1.54591836728571,-923
172.915384615385,1.54591836728571,-490
172.930769230769,1.54591836728571,-29
172.946153846154,1.54591836728571,-17
172.961538461538,1.54591836728571,-1
172.976923076923,1.54591836728571,-11
172.992307692308,1.54591836728571,-25
173.007692307692,1.54591836728571,-25
173.023076923077,1.54591836728571,65
173.038461538462,1.54591836728571,90
173.053846153846,1.54591836728571,-10
173.069230769231,1.54591836728571,-268
173.084615384615,1.54591836728571,-656
173.1,1.54591836728571,-1184
172.9,1.53061224485714,-946
172.915384615385,1.53061224485714,-480
172.930769230769,1.53061224485714,-1
172.946153846154,1.53061224485714,-1
172.961538461538,1.53061224485714,-1
172.976923076923,1.53061224485714,-1
172.992307692308,1.53061224485714,6
173.007692307692,1.53061224485714,6
173.023076923077,1.53061224485714,21
173.038461538462,1.53061224485714,49
173.053846153846,1.53061224485714,22
173.069230769231,1.53061224485714,-100
173.084615384615,1.53061224485714,-348
173.1,1.53061224485714,-750
172.9,1.51530612242857,-920
172.915384615385,1.51530612242857,-543
172.930769230769,1.51530612242857,-1
172.946153846154,1.51530612242857,-23
172.961538461538,1.51530612242857,-1
172.976923076923,1.51530612242857,-14
172.992307692308,1.51530612242857,6
173.007692307692,1.51530612242857,6
173.023076923077,1.51530612242857,-31
173.038461538462,1.51530612242857,-6
173.053846153846,1.51530612242857,-20
173.069230769231,1.51530612242857,-42
